Month;Days_month;Temp_red;Rad_enegy_MJ;Temp_outdoor;Sun_hours;Thermal_demand_MJ
Enero;31;12.53;7.8;9;8;4830.587455
Febrero;28;12.58;10.8;10;7;4358.515598
Marzo;31;12.55;15.2;13;9;4828.552238
Abril;30;12.35;18.5;16;5;4692.488136
Mayo;31;11.37;21.9;18;8;4948.630038
Junio;30;10.35;24.8;24;7;4889.444616
Julio;31;9.93;26.7;27;8;5095.165659
Agosto;31;10.96;23.6;27;9;4990.351986
Setiembre;30;12.09;18.8;24;9;4718.092478
Octubre;31;13.21;12.9;18;10;4761.390078
Noviembre;30;13.27;9.6;13;10;4601.888155
Diciembre;31;13.24;7.1;9;10;4758.337252
